"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
1.65923354893441e-10,0.349709609821501,0.413,0.335,4.59922947429129e-06,"DFFA"
9.91646511217351e-16,0.349618731038178,0.418,0.313,2.74874496444338e-11,"TMEM222"
1.51131170195622e-11,0.348953572985956,0.299,0.227,4.18920490665244e-07,"RARRES1"
1.55185036125657e-12,0.348751385759028,0.441,0.355,4.30157401636708e-08,"MARK3"
3.24694880829036e-10,0.348193541075533,0.349,0.275,9.00021740170006e-06,"SUGP2"
1.42214927024054e-29,0.347882371834756,0.875,0.811,3.94205556217975e-25,"MORF4L1"
1.15393621019672e-09,0.346889177977516,0.254,0.185,3.19859578104427e-05,"QKI"
6.74603948005584e-13,0.346819798470819,0.398,0.305,1.86993468347668e-08,"GTF2E2"
1.30881209221209e-11,0.346315872319989,0.442,0.356,3.62789623840268e-07,"COMMD9"
6.8726382366318e-13,0.346121788226314,0.416,0.321,1.90502659281197e-08,"RPP38"
1.65147980191493e-30,0.346106414749268,0.828,0.756,4.577736862928e-26,"NUCB2"
3.07625918028903e-15,0.346036336571779,0.447,0.345,8.52708282184316e-11,"GRTP1"
2.17203454173674e-39,0.346016610857629,0.381,0.223,6.02066254624006e-35,"GNB4"
1.43864989748549e-08,0.345873074879982,0.363,0.292,0.000398779365084002,"CDC16"
1.77836719242741e-11,0.345684089184313,0.355,0.272,4.92945602068953e-07,"EIF2B3"
1.88769586991521e-13,0.345458024462012,0.555,0.465,5.23250418181796e-09,"PPP1R10"
1.13990702994021e-58,0.345328364772222,0.873,0.696,3.15970829629126e-54,"TM4SF1"
9.10931206327599e-07,0.345300128680206,0.444,0.399,0.0252501021081947,"WDR43"
9.31098552482469e-16,0.345186644172238,0.734,0.671,2.58091207762616e-11,"BCLAF1"
1.17017209300411e-19,0.345030428046235,0.752,0.674,3.2436000245981e-15,"ACTR3"
2.65549283001201e-10,0.344725640467036,0.279,0.21,7.36076057551029e-06,"TIMM21"
9.25912792512355e-14,0.344233333357354,0.492,0.398,2.566537669565e-09,"TLK1"
8.43731219795081e-17,0.344105281028953,0.32,0.221,2.33873856814998e-12,"GET4"
6.20354404984521e-27,0.344009981651146,0.691,0.565,1.71956037517659e-22,"MTA1"
2.46602268189794e-14,0.343519032074233,0.715,0.642,6.8355682719529e-10,"COMMD7"
1.00228770481281e-17,0.34319760302097,0.51,0.395,2.77824128897062e-13,"SCPEP1"
1.27533367796512e-11,0.342995265612349,0.476,0.384,3.53509742195152e-07,"WDR18"
2.05627039680892e-10,0.342080192330483,0.349,0.271,5.69977591291464e-06,"GALNT2"
3.35029778081036e-16,0.341726178312953,0.324,0.229,9.28669041862825e-12,"EFHD2"
8.21881892118719e-09,0.341718289991016,0.256,0.19,0.000227817441676388,"CHCHD4"
2.2405230175574e-08,0.341713094857701,0.291,0.228,0.000621050575236737,"CD276"
2.66128385649827e-11,0.341588205580978,0.289,0.213,7.37681272182755e-07,"MED15"
3.69492447698584e-08,0.34134733414544,0.425,0.366,0.00102419611577571,"MTIF2"
2.77614662800808e-17,0.341298057021583,0.722,0.633,7.69520083817561e-13,"PUF60"
1.18316521913001e-10,0.341178047875341,0.262,0.19,3.27961567090647e-06,"GOLIM4"
2.48073574656508e-12,0.341163855996293,0.331,0.249,6.87635141590374e-08,"B3GALNT2"
5.95336693125786e-09,0.341112946392519,0.265,0.2,0.000165021377967537,"GSK3A"
5.41228606955278e-15,0.340713082474788,0.48,0.382,1.50023157561933e-10,"SMAD2"
2.68709330861371e-16,0.340081308538078,0.555,0.459,7.44835394214634e-12,"SLC35B2"
