"name","contribution","contribution.scaled","group","contribution.relative.1","pvalues"
"Testosterone",0.0279787273500171,0.27961775620375,"HER2",0.08,3.17632142809998e-10
"OSM",0.000482263420783937,0.130941124929748,"HER2",0.03,0.15625
"EPHA",9.0669982871479e-05,0.107431184733223,"HER2",0.009,0.0078125
"L1CAM",0,0,"HER2",0,0
"PCDH",0,0,"HER2",0,0
"SEMA5",0,0,"HER2",0,0
"SLIT",0,0,"HER2",0,0
"ncWNT",0,0,"HER2",0,0
"PVR",0,0,"HER2",0,0
"CSPG4",0,0,"HER2",0,0
"APRIL",0,0,"HER2",0,0
"IL10",0,0,"HER2",0,0
"Adenosine",0,0,"HER2",0,0
"FASLG",0,0,"HER2",0,0
"PTPR",0,0,"HER2",0,0
"TRAIL",0,0,"HER2",0,0
"BAG",0,0,"HER2",0,0
"HGF",0,0,"HER2",0,0
"BAFF",0,0,"HER2",0,0
"ADGRA",0,0,"HER2",0,0
"LCK",0,0,"HER2",0,0
"CDH1",0,0,"HER2",0,0
"CSF",0,0,"HER2",0,0
"SIRP",0,0,"HER2",0,0
