"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,0.404141269592863,0.344,0.123,0,"19","SMIM4"
0,0.828985073490932,0.305,0.084,0,"19","APEX2"
0,1.00830717468526,0.303,0.082,0,"19","YAP1"
0,0.294970500122891,0.356,0.135,0,"19","GLYR1"
0,2.22188943453706,0.266,0.046,0,"19","SOWAHC"
0,0.740112023991959,0.316,0.096,0,"19","MTFR1L"
0,0.632603617660567,0.312,0.092,0,"19","VWA9"
0,0.888641703403529,0.298,0.078,0,"19","DPH5"
0,0.876364464172807,0.303,0.083,0,"19","TRAPPC12"
0,0.360427571460343,0.358,0.138,0,"19","RDH14"
0,0.962004609461801,0.292,0.072,0,"19","XRRA1"
0,0.263950436946819,0.36,0.14,0,"19","PIGH"
0,0.410106441329943,0.335,0.116,0,"19","TMEM128"
0,0.369487795317394,0.36,0.141,0,"19","TMEM57"
0,0.81178144303351,0.311,0.092,0,"19","ING2"
0,2.0811084868819,0.251,0.032,0,"19","CFAP69"
0,0.866067010191293,0.312,0.093,0,"19","AMDHD2"
0,0.732506026205432,0.316,0.097,0,"19","ALDH16A1"
0,0.61565566556751,0.322,0.104,0,"19","PVRL4"
0,0.555764418473824,0.326,0.108,0,"19","SEC23IP"
0,1.80149096668655,0.265,0.047,0,"19","SYT17"
0,0.40966891628539,0.338,0.12,0,"19","EDEM2"
0,0.709896159696823,0.313,0.095,0,"19","LAS1L"
0,1.76537675438384,0.26,0.042,0,"19","MIRLET7BHG"
0,0.400828230377973,0.348,0.13,0,"19","NIT1"
0,0.79638477852379,0.297,0.079,0,"19","ELK1"
0,0.955629469286326,0.288,0.07,0,"19","N6AMT2"
0,0.89546213164548,0.303,0.085,0,"19","SLC27A5"
0,1.26490968700003,0.276,0.059,0,"19","C5orf30"
0,0.309192817268973,0.323,0.106,0,"19","ZNF703"
0,0.409180330872117,0.325,0.108,0,"19","C12orf76"
0,1.28957825649486,0.254,0.037,0,"19","COL9A2"
0,0.806830372233639,0.308,0.091,0,"19","NARFL"
0,0.664844930799346,0.309,0.092,0,"19","PIAS2"
0,0.252632519127887,0.356,0.139,0,"19","PLOD3"
0,0.399096513370246,0.338,0.122,0,"19","TNFAIP2"
0,0.718844394042386,0.316,0.1,0,"19","MTA3"
0,1.10219207900998,0.289,0.073,0,"19","MTERF2"
0,0.997099104866006,0.293,0.077,0,"19","TELO2"
0,0.998484700882911,0.996,0.78,0,"19","EEF2"
0,1.16757969128403,0.28,0.065,0,"19","ARMCX2"
0,0.516279780968619,0.319,0.104,0,"19","NDRG3"
0,0.459157768842632,0.343,0.128,0,"19","CECR5"
0,0.593957537399158,0.313,0.098,0,"19","PDHX"
0,0.437040891044485,0.347,0.132,0,"19","B4GALT7"
0,0.314393157550021,0.326,0.112,0,"19","HSD17B7"
0,0.760400636219334,0.304,0.09,0,"19","TFB2M"
0,0.394477880939006,0.332,0.119,0,"19","TCTA"
0,0.801123074487602,0.316,0.103,0,"19","CLPTM1L"
0,1.15053708817499,0.278,0.065,0,"19","DGAT1"
0,1.60947652268888,0.263,0.05,0,"19","DNAJC25"
0,0.471758054417416,0.319,0.106,0,"19","GSKIP"
0,0.518248838980865,0.3,0.087,0,"19","FBXO44"
0,1.04392934179103,0.293,0.08,0,"19","EEF2KMT"
0,0.458362363026355,0.32,0.108,0,"19","AGA"
0,0.397513003704842,0.319,0.107,0,"19","SLC35B3"
0,0.259697566175443,0.34,0.128,0,"19","YKT6"
0,0.402977200152263,0.327,0.115,0,"19","ANKIB1"
0,0.988968458787723,0.303,0.091,0,"19","ALG14"
0,0.260512707853138,0.348,0.136,0,"19","TMEM87B"
0,0.793723763909087,0.296,0.084,0,"19","TMEM192"
0,0.973859075191417,0.284,0.072,0,"19","SLC4A2"
0,0.930734352713201,0.287,0.075,0,"19","TMEM68"
0,0.610673523457634,0.318,0.107,0,"19","MTIF2"
0,0.268427433930442,0.33,0.119,0,"19","PKP4"
0,0.988399513677202,0.278,0.067,0,"19","FAM160A2"
0,1.07678068671335,0.27,0.059,0,"19","SPATA2"
0,1.64209983284247,0.255,0.044,0,"19","PPAN"
0,0.514248213297393,0.328,0.118,0,"19","C1orf27"
0,1.09787819110214,0.272,0.062,0,"19","FAM8A1"
0,1.41566049941745,0.258,0.048,0,"19","TMEM67"
0,0.437061484391449,0.321,0.111,0,"19","ZNF385A"
0,1.37473448965349,0.254,0.044,0,"19","ZNF324"
0,0.852415138173975,0.295,0.085,0,"19","CDC34"
0,1.07926800238821,0.286,0.076,0,"19","GNA11"
0,1.1895156966133,0.277,0.068,0,"19","TEX261"
0,0.275554594384563,0.33,0.121,0,"19","SEC24D"
0,0.909874167838265,0.277,0.068,0,"19","ST5"
0,0.454989748103422,0.316,0.107,0,"19","SUGP2"
0,0.608768332381865,0.297,0.088,0,"19","PIAS3"
0,0.880764520594646,0.29,0.081,0,"19","TMEM42"
0,0.473662741687098,0.324,0.116,0,"19","MRPL35"
0,0.282386677491243,0.342,0.134,0,"19","CEP63"
0,0.252357066544037,0.338,0.13,0,"19","C11orf24"
0,0.604287224818143,0.311,0.103,0,"19","LINC00665"
0,0.499175828668864,0.3,0.092,0,"19","AVL9"
0,0.738277055978628,0.303,0.095,0,"19","LLGL2"
0,1.02217692024183,0.289,0.081,0,"19","C11orf74"
0,1.09223621841945,0.273,0.066,0,"19","OTUD7B"
0,0.299982615351395,0.335,0.128,0,"19","SLC41A3"
0,1.40709790713683,0.26,0.053,0,"19","WFS1"
0,1.29565882762564,0.258,0.051,0,"19","DLG3"
0,0.415209755955946,0.329,0.122,0,"19","ALG2"
0,1.23663515794724,0.254,0.047,0,"19","TGFB3"
0,1.13566737541185,0.255,0.048,0,"19","PLCB1"
0,0.710054095072138,0.278,0.071,0,"19","TGM2"
0,0.963960932833165,0.301,0.094,0,"19","SLC35F6"
0,0.591137437124567,0.294,0.087,0,"19","HDAC8"
0,1.28641342889622,0.262,0.056,0,"19","PLEKHH3"
0,0.791747731930316,0.271,0.065,0,"19","ABCA5"
0,0.422510094824387,0.286,0.08,0,"19","DDX60"
0,1.10832125174883,0.282,0.076,0,"19","PYGL"
0,1.49664405340243,0.26,0.055,0,"19","GRHL1"
0,0.3068082310499,0.318,0.113,0,"19","ORC4"
0,0.40438735030425,0.322,0.117,0,"19","FKBP9"
0,1.5188327908664,0.256,0.051,0,"19","CACFD1"
0,0.747781931181462,0.305,0.1,0,"19","NOL3"
0,0.919450472884438,0.281,0.077,0,"19","MUT"
0,0.813522896836105,0.28,0.076,0,"19","C7orf26"
0,0.933298786866844,0.279,0.075,0,"19","CLCN7"
0,0.410812341341326,0.321,0.117,0,"19","NUBP1"
0,0.561972153801936,0.31,0.106,0,"19","CC2D1A"
0,0.668433298210115,0.295,0.091,0,"19","ZNF444"
0,1.12715801938434,0.269,0.066,0,"19","MICALL2"
0,0.916466164204641,0.276,0.073,0,"19","EPHB4"
0,0.289585147561156,0.326,0.123,0,"19","AP2A2"
0,0.523776343853245,0.313,0.11,0,"19","SDHAF1"
0,0.833588055737709,0.295,0.092,0,"19","ZNF576"
0,0.404328051034994,0.991,0.788,0,"19","CALM2"
0,0.333050103658161,0.342,0.14,0,"19","SEPT10"
0,0.705723015492086,0.27,0.068,0,"19","RPGR"
0,0.390081578303935,0.304,0.102,0,"19","ST6GALNAC4"
0,0.408416177357366,0.308,0.106,0,"19","DYNLL2"
0,0.501988068601321,0.307,0.105,0,"19","CSE1L"
0,0.291941794857521,0.295,0.093,0,"19","SOAT1"
0,0.592421694465606,0.295,0.093,0,"19","MAVS"
0,0.643988550137619,0.303,0.101,0,"19","KIF3B"
